# dh=100, lr=0.001, K=500
# Epoch, train loss, train error
1.000000 0.711279 0.482727
2.000000 0.701646 0.476364
3.000000 0.696926 0.444545
4.000000 0.692373 0.431818
5.000000 0.687934 0.422727
6.000000 0.683548 0.411818
7.000000 0.679256 0.405455
8.000000 0.675066 0.376364
9.000000 0.670950 0.351818
10.000000 0.666921 0.310909
11.000000 0.662984 0.280000
12.000000 0.659115 0.235455
13.000000 0.655317 0.217273
14.000000 0.651583 0.191818
15.000000 0.647925 0.162727
16.000000 0.644319 0.132727
17.000000 0.640763 0.096364
18.000000 0.637254 0.084545
19.000000 0.633805 0.071818
20.000000 0.630434 0.057273
21.000000 0.627093 0.038182
22.000000 0.623777 0.022727
23.000000 0.620492 0.013636
24.000000 0.617266 0.000000
25.000000 0.614063 0.000000
26.000000 0.610872 0.000000
27.000000 0.607692 0.000000
28.000000 0.604523 0.000000
29.000000 0.601356 0.000000
30.000000 0.598197 0.000000
31.000000 0.595041 0.000000
32.000000 0.591891 0.000000
33.000000 0.588747 0.000000
34.000000 0.585611 0.000000
35.000000 0.582482 0.000000
36.000000 0.579362 0.000000
37.000000 0.576248 0.000000
38.000000 0.573143 0.000000
39.000000 0.570045 0.000000
40.000000 0.566952 0.000000
41.000000 0.563864 0.000000
42.000000 0.560786 0.000000
43.000000 0.557710 0.000000
44.000000 0.554642 0.000000
45.000000 0.551580 0.000000
46.000000 0.548528 0.000000
47.000000 0.545481 0.000000
48.000000 0.542445 0.000000
49.000000 0.539425 0.000000
50.000000 0.536415 0.000000
51.000000 0.533413 0.000000
52.000000 0.530421 0.000000
53.000000 0.527434 0.000000
54.000000 0.524460 0.000000
55.000000 0.521501 0.000000
56.000000 0.518556 0.000000
57.000000 0.515623 0.000000
58.000000 0.512706 0.000000
59.000000 0.509805 0.000000
60.000000 0.506921 0.000000
61.000000 0.504053 0.000000
62.000000 0.501202 0.000000
63.000000 0.498369 0.000000
64.000000 0.495551 0.000000
65.000000 0.492751 0.000000
66.000000 0.489965 0.000000
67.000000 0.487193 0.000000
68.000000 0.484440 0.000000
69.000000 0.481703 0.000000
70.000000 0.478989 0.000000
71.000000 0.476293 0.000000
72.000000 0.473614 0.000000
73.000000 0.470950 0.000000
74.000000 0.468311 0.000000
75.000000 0.465689 0.000000
76.000000 0.463082 0.000000
77.000000 0.460494 0.000000
78.000000 0.457926 0.000000
79.000000 0.455382 0.000000
80.000000 0.452861 0.000000
81.000000 0.450359 0.000000
82.000000 0.447882 0.000000
83.000000 0.445422 0.000000
84.000000 0.442982 0.000000
85.000000 0.440566 0.000000
86.000000 0.438173 0.000000
87.000000 0.435797 0.000000
88.000000 0.433447 0.000000
89.000000 0.431116 0.000000
90.000000 0.428810 0.000000
91.000000 0.426524 0.000000
92.000000 0.424254 0.000000
93.000000 0.422010 0.000000
94.000000 0.419791 0.000000
95.000000 0.417592 0.000000
96.000000 0.415423 0.000000
97.000000 0.413270 0.000000
98.000000 0.411141 0.000000
99.000000 0.409043 0.000000
100.000000 0.406973 0.000000
